#{"t_start": 1735027290.5061884, "env_id": "GraspEnv_v3"}
r,l,t
-3.488943,9,46.50481
-8.747693,9,46.511947
-7.885528,9,46.518946
-8.0878,9,46.525972
-7.120104,9,46.532947
-7.205172,9,46.539947
-6.67001,9,47.497247
-8.285085,9,47.504238
-7.853539,9,47.511349
-8.976937,9,47.519361
-7.632067,9,47.526367
-5.267462,9,47.534349
-3.114541,9,47.541378
-8.138261,9,47.549376
-8.60062,9,47.55636
-7.035918,9,47.563355
-2.029913,9,48.535072
-8.86467,9,48.543081
-7.983928,9,48.550081
-7.792742,9,48.557075
-7.48311,9,48.564078
-1.908122,9,48.571081
-6.581479,9,48.578095
-6.736631,9,48.586118
-7.064101,9,48.593074
-8.952825,9,48.600161
-8.983534,9,49.556393
-7.796958,9,49.563393
-8.245496,9,49.570393
-5.717576,9,49.578388
-8.884981,9,49.585382
-6.838018,9,49.593393
-5.836554,9,49.600472
-7.099842,9,49.607436
-8.765391,9,49.614774
-5.507554,9,49.621785
-7.828533,9,50.565407
-7.244611,9,50.57241
-8.785708,9,50.579411
-5.359616,9,50.586411
-6.15824,9,50.593443
0.851408,1,50.5954
-3.740749,9,50.602487
-3.429077,9,50.609475
-2.227233,9,50.616603
-7.458119,9,50.623603
-7.507555,9,51.550764
-3.85146,9,51.557796
-3.050331,9,51.564753
-8.626193,9,51.572797
-7.714548,9,51.579754
-2.212177,9,51.586792
-1.90869,9,51.593752
0.951463,1,51.595768
-6.79768,9,51.603843
-4.591979,9,51.610832
-8.168672,9,52.575851
-5.428474,9,52.582851
-3.103107,9,52.589851
-4.99405,9,52.596854
-1.997651,9,52.604908
-5.757785,9,52.611908
-8.182827,9,52.618995
-2.7233,9,52.62599
-6.968628,9,52.633988
-6.886412,9,52.64099
-8.308269,9,53.617673
-8.910111,9,53.624107
-8.418101,9,53.632089
-3.922912,9,53.64009
-8.646937,9,53.64811
-2.338333,9,53.655082
-6.348151,9,53.662089
-7.338146,9,53.670093
-8.01002,9,53.677087
-7.705739,9,53.685082
-8.314271,9,54.662902
-8.406561,9,54.669893
-8.990768,9,54.676895
-8.688345,9,54.683918
0.922549,1,54.685896
-8.880688,9,54.692901
-8.799021,9,54.700896
-8.654062,9,54.707952
-8.935407,9,54.714945
-8.784638,9,54.721952
-8.556862,9,55.767546
-2.781119,9,55.775517
-4.32487,9,55.782514
-2.020151,9,55.79151
-4.375359,9,55.799509
-7.58334,9,55.806527
-8.504318,9,55.813601
-4.170281,9,55.820623
-8.764058,9,55.828701
-7.225394,9,55.835736
-2.150631,9,56.826624
-8.134376,9,56.833723
-6.932998,9,56.84077
-5.290844,9,56.848738
0.907511,1,56.849735
-7.970508,9,56.857726
-7.540976,9,56.864729
-2.288931,9,56.872726
-8.852822,9,56.878726
-8.886939,9,56.886728
-8.786748,9,57.892878
-7.303011,9,57.899882
-1.793922,9,57.906871
-6.7803,9,57.913962
0.962934,1,57.915957
-7.824473,9,57.92296
-8.906881,9,57.929587
-7.129242,9,57.937563
-4.635709,9,57.944564
-8.868814,9,57.951582
-8.536586,9,58.960145
-2.212436,9,58.96915
0.943543,1,58.971136
-8.921953,9,58.978143
-8.893961,9,58.986143
-7.30733,9,58.994143
0.874232,1,58.996136
-8.977086,9,59.00615
-6.864077,9,59.014136
-8.494176,9,59.022211
-5.460355,9,60.051509
-8.13993,9,60.059474
-7.787713,9,60.066484
-6.223165,9,60.07548
-5.676661,9,60.08348
-3.753758,9,60.09148
-8.759376,9,60.09948
-3.599667,9,60.107508
0.97828,1,60.109487
-7.079783,9,60.117486
-5.684276,9,61.10882
-6.77054,9,61.11682
-2.356875,9,61.127866
-7.844054,9,61.135522
-7.383722,9,61.144494
-6.557314,9,61.153494
-6.803264,9,61.161509
-4.890623,9,61.170485
-8.397767,9,61.178495
-6.339744,9,61.188488
0.860343,1,62.23468
-6.674553,9,62.241806
-5.760373,9,62.248809
-8.531065,9,62.255822
-4.937399,9,62.264813
0.937158,1,62.265829
-8.00188,9,62.272815
-6.571436,9,62.281829
-7.15217,9,62.289835
-8.38518,9,62.296822
-8.693061,9,63.283797
-8.942617,9,63.290763
-8.176006,9,63.297764
-7.038066,9,63.305765
-3.60608,9,63.313763
-8.478577,9,63.32177
-8.888574,9,63.328819
-6.570953,9,63.342249
-8.69445,9,63.357379
-4.965842,9,63.370395
-7.550267,9,64.449332
-8.480489,9,64.457289
0.999886,1,64.460324
-3.337256,9,64.467319
-5.559494,9,64.477301
-4.439793,9,64.485303
-4.165904,9,64.4933
-5.899851,9,64.500293
-7.397206,9,64.508335
-3.786178,9,64.517301
-7.665069,9,65.514309
-5.240574,9,65.522307
-7.91685,9,65.529385
-8.528743,9,65.537362
-8.958117,9,65.544543
-5.267593,9,65.551541
0.990294,1,65.553547
-8.901718,9,65.561543
-5.931775,9,65.568538
-8.591292,9,65.57554
-6.074543,9,66.645466
-3.601329,9,66.653497
-8.839541,9,66.66146
-8.586156,9,66.669464
-8.564127,9,66.678467
-7.541707,9,66.686146
-8.095744,9,66.694166
-7.142727,9,66.702145
-8.738461,9,66.711149
-8.929204,9,66.718179
-8.297555,9,67.882409
-6.602929,9,67.890388
-3.034483,9,67.898392
-1.875545,9,67.906388
-6.535712,9,67.913393
-5.972108,9,67.921393
-5.208596,9,67.928386
-2.090456,9,67.936434
-1.986334,9,67.944448
-6.511155,9,67.951544
-4.556664,9,68.916181
-8.126498,9,68.923179
-5.965653,9,68.931185
-3.225906,9,68.939286
-7.640582,9,68.947268
-8.136096,9,68.953523
-3.319101,9,68.962533
-5.586146,9,68.97156
-3.49544,9,68.979519
-5.568135,9,68.986528
-8.979942,9,69.972999
-3.500797,9,69.982991
-5.061601,9,69.990011
-8.440444,9,69.998011
-2.091047,9,70.005998
0.880307,1,70.007001
-2.75039,9,70.01499
-8.995029,9,70.022
0.819818,1,70.023989
-8.265255,9,70.030986
0.993195,1,71.097778
-2.944944,9,71.10579
0.840723,1,71.108782
-3.992703,9,71.11681
-7.695943,9,71.124768
-8.458857,9,71.132797
-8.641469,9,71.14084
-8.581567,9,71.148828
-6.225212,9,71.156992
-8.816906,9,71.163987
-3.489146,9,72.195076
-8.947934,9,72.202037
-8.225075,9,72.210046
-8.734911,9,72.217094
-7.160786,9,72.224046
-7.843649,9,72.232034
-8.768378,9,72.239039
-3.180378,9,72.247092
-8.833877,9,72.254092
-2.815591,9,72.261265
-3.477578,9,73.27972
-1.982679,9,73.286679
-2.933187,9,73.294684
-2.143381,9,73.302683
-8.592118,9,73.309687
-6.693563,9,73.31669
-2.019695,9,73.324681
-4.68443,9,73.331683
-2.060259,9,73.339685
-7.938385,9,73.346736
-7.378235,9,74.36796
-7.586088,9,74.374966
-7.15501,9,74.381949
-2.028676,9,74.38997
-8.773085,9,74.396962
-8.908773,9,74.40397
-5.203402,9,74.410963
-8.245909,9,74.417953
-5.802821,9,74.424963
-5.916079,9,74.431955
-4.377442,9,75.456563
-7.00944,9,75.463777
-6.288773,9,75.471777
-8.623183,9,75.478768
0.885088,1,75.479781
-7.724181,9,75.487811
-8.848996,9,75.49578
-3.127179,9,75.502778
-8.785796,9,75.511766
-3.132619,9,75.518768
-8.265243,9,76.564027
-7.808032,9,76.571996
-6.842781,9,76.579996
-7.750943,9,76.587026
-1.809405,9,76.594995
-5.840882,9,76.601985
-6.673804,9,76.609999
-8.739357,9,76.617
-8.999901,9,76.624986
0.84892,1,76.625999
0.960653,1,77.765123
-3.944203,9,77.773174
-4.072368,9,77.781169
-5.35027,9,77.791195
-6.248188,9,77.799176
0.883959,1,77.801179
-6.375417,9,77.80918
-8.387546,9,77.817177
-3.907219,9,77.825181
-8.886821,9,77.832189
-8.91733,9,78.941215
-4.917014,9,78.949209
-4.636401,9,78.956257
-2.956235,9,78.964246
-8.824592,9,78.971444
-6.212698,9,78.979439
-5.313141,9,78.987437
-5.898254,9,78.99544
-7.09784,9,79.003432
-6.992792,9,79.012448
-7.80222,9,80.103276
-5.135008,9,80.111268
-8.937713,9,80.118299
-7.446435,9,80.126268
-8.614296,9,80.133286
-8.73806,9,80.140266
-6.733796,9,80.149261
0.953565,1,80.151282
-2.603826,9,80.158356
-8.717576,9,80.166356
-6.423675,9,81.22887
-7.727262,9,81.236861
0.848611,1,81.237871
-3.957292,9,81.244873
-5.812459,9,81.252873
-7.476518,9,81.259923
-1.985772,9,81.266926
-5.265652,9,81.274034
-8.934726,9,81.281038
-4.083238,9,81.288032
