time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef
441,7698,996,17,,,,,,,,
,7700,,,12.3,-7.695067200000001,,,,,,
437,7737,1000,17,,,,,,,,
438,7761,1004,17,,,,,,,,
438,7776,1008,17,,,,,,,,
,7800,,,9.4,-5.6669992,,,,,,
435,7811,1012,17,,,,,,,,
436,7848,1016,17,,,,,,,,
437,7868,1020,17,,,,,,,,
438,7880,1024,17,,,,,,,,
,7900,,,9.7,-6.2200229,,,,,,
434,7916,1028,18,,,,,,,,
436,7944,1032,18,,,,,,,,
437,7980,1036,18,,,,,,,,
,8000,,,6.7,-3.3169741999999998,,,,,,
435,8017,1040,18,,,,,,,,
436,8037,1044,18,,,,,,,,
437,8065,1048,18,,,,,,,,
438,8084,1052,18,,,,,,,,
,8100,,,9.8,-6.3306952,,,,,,
434,8108,1056,18,,,,,,,,
436,8138,1060,18,,,,,,,,
438,8187,1064,18,,,,,,,,
,8200,,,11.7,-7.658137000000001,,,,,,
433,8200,1068,18,,,,,,,,
433,8221,1072,18,,,,,,,,
435,8246,1076,18,,,,,,,,
436,8270,1080,18,,,,,,,,
,8300,,,7.3,-4.0440879999999995,,,,,,
434,8308,1084,19,,,,,,,,
435,8332,1088,19,,,,,,,,
436,8359,1092,19,,,,,,,,
437,8397,1096,19,,,,,,,,
,8400,,,11.2,-7.205433599999999,,,,,,
434,8449,1100,19,,,,,,,,
435,8460,1104,19,,,,,,,,
436,8492,1108,19,,,,,,,,
,8500,,,8.6,-4.6236196,,,,,,
433,8532,1112,19,,,,,,,,
435,8567,1116,19,,,,,,,,
,8600,,,9.1,-6.4501688,,,,,,
432,8600,1120,19,,,,,,,,
433,8626,1124,19,,,,,,,,
434,8660,1128,19,,,,,,,,
,8700,,,9.0,-4.7766461,,,,,,
432,8702,1132,20,,,,,,,,
433,8725,1136,20,,,,,,,,
434,8754,1140,20,,,,,,,,
,8800,,,9.4,-7.6747692,,,,,,
432,8802,1144,20,,,,,,,,
433,8835,1148,20,,,,,,,,
434,8857,1152,20,,,,,,,,
436,8897,1156,20,,,,,,,,
,8900,,,10.7,-7.8200333,,,,,,
432,8921,1160,20,,,,,,,,
433,8963,1164,20,,,,,,,,
435,8995,1168,20,,,,,,,,
,9000,,,8.8,-4.9614972999999996,,,,,,
432,9027,1172,20,,,,,,,,
433,9060,1176,20,,,,,,,,
434,9088,1180,20,,,,,,,,
,9100,,,8.7,-4.9017704,,,,,,
431,9103,1184,21,,,,,,,,
432,9139,1188,21,,,,,,,,
433,9163,1192,21,,,,,,,,
434,9190,1196,21,,,,,,,,
,9200,,,7.1,-2.9043288,,,,,,
432,9223,1200,21,,,,,,,,
433,9244,1204,21,,,,,,,,
434,9264,1208,21,,,,,,,,
435,9299,1212,21,,,,,,,,
,9300,,,9.4,-5.6393109,,,,,,
432,9322,1216,21,,,,,,,,
433,9365,1220,21,,,,,,,,
434,9384,1224,21,,,,,,,,
435,9399,1228,21,,,,,,,,
,9400,,,7.4,-4.1465046999999995,,,,,,
433,9444,1232,21,,,,,,,,
434,9485,1236,21,,,,,,,,
,9500,,,8.5,-5.250894799999999,,,,,,
432,9514,1240,22,,,,,,,,
434,9558,1244,22,,,,,,,,
435,9584,1248,22,,,,,,,,
435,9595,1252,22,,,,,,,,
,9600,,,6.4,-3.0161078999999997,,,,,,
433,9626,1256,22,,,,,,,,
434,9664,1260,22,,,,,,,,
435,9677,1264,22,,,,,,,,
436,9699,1268,22,,,,,,,,
,9700,,,3.4,-1.0073340000000002,,,,,,
434,9725,1272,22,,,,,,,,
436,9760,1276,22,,,,,,,,
,9800,,,9.7,-7.1283255,,,,,,
433,9802,1280,22,,,,,,,,
435,9842,1284,22,,,,,,,,
436,9875,1288,22,,,,,,,,
,9900,,,5.4,-2.7479869,,,,,,
435,9907,1292,22,,,,,,,,
435,9930,1296,22,,,,,,,,
437,9966,1300,22,,,,,,,,
438,9993,1304,22,,,,,,,,
,10000,,,8.0,-4.9277831,,,,,,
435,10026,1308,23,,,,,,,,
436,10065,1312,23,,,,,,,,
,10100,,,10.8,-7.2412413,,,,,,
434,10121,1316,23,,,,,,,,
435,10139,1320,23,,,,,,,,
436,10178,1324,23,,,,,,,,
,10200,,,10.3,-6.3442378,,,,,,
433,10205,1328,23,,,,,,,,
434,10235,1332,23,,,,,,,,
436,10277,1336,23,,,,,,,,
,10300,,,11.1,-7.440577899999999,,,,,,
432,10313,1340,23,,,,,,,,
433,10339,1344,23,,,,,,,,
435,10381,1348,23,,,,,,,,
,10400,,,11.0,-6.214492000000001,,,,,,
432,10423,1352,24,,,,,,,,
433,10450,1356,24,,,,,,,,
434,10479,1360,24,,,,,,,,
,10500,,,11.7,-7.2853374,,,,,,
430,10507,1364,24,,,,,,,,
431,10534,1368,24,,,,,,,,
432,10563,1372,24,,,,,,,,
433,10589,1376,24,,,,,,,,
,10600,,,10.4,-7.4786762,,,,,,
430,10630,1380,24,,,,,,,,
431,10657,1384,24,,,,,,,,
432,10682,1388,24,,,,,,,,
,10700,,,8.5,-4.1157761,,,,,,
430,10701,1392,24,,,,,,,,
430,10712,1396,24,,,,,,,,
431,10741,1400,24,,,,,,,,
432,10770,1404,24,,,,,,,,
432,10780,1408,24,,,,,,,,
,10800,,,6.4,-3.333436900000001,,,,,,
431,10818,1412,25,,,,,,,,
432,10859,1416,25,,,,,,,,
433,10880,1420,25,,,,,,,,
,10900,,,8.8,-4.9169697,,,,,,
430,10902,1424,25,,,,,,,,
431,10928,1428,25,,,,,,,,
432,10958,1432,25,,,,,,,,
433,10992,1436,25,,,,,,,,
,11000,,,11.1,-6.768398500000001,,,,,,
430,11024,1440,25,,,,,,,,
431,11046,1444,25,,,,,,,,
432,11080,1448,25,,,,,,,,
,11100,,,8.5,-5.784224399999999,,,,,,
430,11136,1452,25,,,,,,,,
431,11163,1456,25,,,,,,,,
,11200,,,10.1,-6.358947499999999,,,,,,
429,11202,1460,26,,,,,,,,
430,11249,1464,26,,,,,,,,
431,11280,1468,26,,,,,,,,
,11300,,,9.0,-5.7802368,,,,,,
429,11315,1472,26,,,,,,,,
430,11335,1476,26,,,,,,,,
431,11370,1480,26,,,,,,,,
,11400,,,10.0,-7.2163685,,,,,,
429,11404,1484,26,,,,,,,,
429,11427,1488,26,,,,,,,,
430,11461,1492,26,,,,,,,,
431,11477,1496,26,,,,,,,,
,11500,,,9.2,-5.5187762000000005,,,,,,
429,11522,1500,26,,,,,,,,
430,11545,1504,26,,,,,,,,
430,11556,1508,26,,,,,,,,
431,11580,1512,26,,,,,,,,
,11600,,,8.6,-4.6502317,,,,,,
428,11600,1516,27,,,,,,,,
429,11631,1520,27,,,,,,,,
430,11663,1524,27,,,,,,,,
431,11687,1528,27,,,,,,,,
,11700,,,9.9,-6.300631599999999,,,,,,
428,11719,1532,27,,,,,,,,
429,11735,1536,27,,,,,,,,
430,11774,1540,27,,,,,,,,
,11800,,,10.3,-6.668445,,,,,,
428,11812,1544,27,,,,,,,,
429,11847,1548,27,,,,,,,,
429,11867,1552,27,,,,,,,,
430,11894,1556,27,,,,,,,,
,11900,,,9.7,-5.8162632,,,,,,
429,11950,1560,27,,,,,,,,
430,11992,1564,27,,,,,,,,
,12000,,,6.4,-3.5148243,,,,,,
429,12036,1568,28,,,,,,,,
430,12065,1572,28,,,,,,,,
431,12094,1576,28,,,,,,,,
,12100,,,9.0,-4.9006214,,,,,,
429,12125,1580,28,,,,,,,,
429,12149,1584,28,,,,,,,,
430,12188,1588,28,,,,,,,,
,12200,,,10.3,-6.830276700000001,,,,,,
428,12223,1592,28,,,,,,,,
428,12234,1596,28,,,,,,,,
429,12273,1600,28,,,,,,,,
,12300,,,12.3,-9.2142381,,,,,,
427,12314,1604,28,,,,,,,,
427,12331,1608,28,,,,,,,,
428,12373,1612,28,,,,,,,,
,12400,,,8.2,-4.507153000000001,,,,,,
427,12403,1616,29,,,,,,,,
427,12431,1620,29,,,,,,,,
429,12471,1624,29,,,,,,,,
,12500,,,7.4,-4.074880200000001,,,,,,
427,12509,1628,29,,,,,,,,
427,12523,1632,29,,,,,,,,
428,12556,1636,29,,,,,,,,
429,12569,1640,29,,,,,,,,
429,12593,1644,29,,,,,,,,
,12600,,,9.3,-5.167694,,,,,,
428,12640,1648,29,,,,,,,,
429,12676,1652,29,,,,,,,,
,12700,,,12.0,-7.922197800000001,,,,,,
426,12724,1656,29,,,,,,,,
428,12762,1660,29,,,,,,,,
428,12787,1664,29,,,,,,,,
,12800,,,6.7,-3.3282139,,,,,,
427,12805,1668,29,,,,,,,,
427,12816,1672,29,,,,,,,,
428,12847,1676,30,,,,,,,,
428,12870,1680,30,,,,,,,,
429,12897,1684,30,,,,,,,,
,12900,,,6.6,-3.3091542000000005,,,,,,
428,12928,1688,30,,,,,,,,
429,12963,1692,30,,,,,,,,
430,12996,1696,30,,,,,,,,
,13000,,,6.5,-3.2145780999999998,,,,,,
428,13015,1700,30,,,,,,,,
429,13045,1704,30,,,,,,,,
430,13083,1708,30,,,,,,,,
,13100,,,5.6,-2.5510213999999998,,,,,,
429,13108,1712,30,,,,,,,,
429,13132,1716,30,,,,,,,,
430,13156,1720,30,,,,,,,,
430,13176,1724,30,,,,,,,,
,13200,,,9.1,-5.2073786,,,,,,
428,13205,1728,30,,,,,,,,
430,13247,1732,30,,,,,,,,
430,13279,1736,30,,,,,,,,
,13300,,,9.2,-5.298599100000001,,,,,,
428,13303,1740,31,,,,,,,,
429,13314,1744,31,,,,,,,,
429,13338,1748,31,,,,,,,,
430,13360,1752,31,,,,,,,,
,13400,,,9.1,-4.6596344,,,,,,
428,13400,1756,31,,,,,,,,
429,13424,1760,31,,,,,,,,
430,13468,1764,31,,,,,,,,
,13500,,,10.2,-6.1836437,,,,,,
428,13501,1768,31,,,,,,,,
429,13549,1772,31,,,,,,,,
430,13579,1776,31,,,,,,,,
431,13599,1780,31,,,,,,,,
,13600,,,10.6,-6.8183879,,,,,,
429,13642,1784,31,,,,,,,,
429,13674,1788,31,,,,,,,,
,13700,,,10.7,-6.810141400000001,,,,,,
427,13710,1792,32,,,,,,,,
428,13742,1796,32,,,,,,,,
429,13782,1800,32,,,,,,,,
,13800,,,9.0,-4.2119255,,,,,,
427,13814,1804,32,,,,,,,,
428,13842,1808,32,,,,,,,,
429,13876,1812,32,,,,,,,,
,13900,,,10.2,-5.907733,,,,,,
427,13904,1816,32,,,,,,,,
427,13928,1820,32,,,,,,,,
428,13958,1824,32,,,,,,,,
429,13990,1828,32,,,,,,,,
,14000,,,7.6,-3.8939522999999996,,,,,,
427,14008,1832,32,,,,,,,,
428,14032,1836,32,,,,,,,,
429,14063,1840,32,,,,,,,,
429,14074,1844,32,,,,,,,,
429,14093,1848,32,,,,,,,,
,14100,,,9.9,-6.6649391,,,,,,
427,14121,1852,33,,,,,,,,
428,14147,1856,33,,,,,,,,
429,14180,1860,33,,,,,,,,
,14200,,,3.8,-0.9580549999999999,,,,,,
427,14203,1864,33,,,,,,,,
428,14235,1868,33,,,,,,,,
429,14261,1872,33,,,,,,,,
,14300,,,10.1,-6.682321499999999,,,,,,
427,14313,1876,33,,,,,,,,
428,14334,1880,33,,,,,,,,
429,14364,1884,33,,,,,,,,
429,14387,1888,33,,,,,,,,
,14400,,,12.7,-8.8455714,,,,,,
426,14405,1892,33,,,,,,,,
427,14437,1896,33,,,,,,,,
427,14455,1900,33,,,,,,,,
428,14476,1904,33,,,,,,,,
428,14498,1908,33,,,,,,,,
,14500,,,11.0,-7.981736700000002,,,,,,
426,14535,1912,34,,,,,,,,
427,14565,1916,34,,,,,,,,
428,14595,1920,34,,,,,,,,
,14600,,,9.9,-6.522547300000001,,,,,,
426,14621,1924,34,,,,,,,,
427,14667,1928,34,,,,,,,,
,14700,,,5.5,-1.8737097999999999,,,,,,
426,14702,1932,34,,,,,,,,
427,14732,1936,34,,,,,,,,
427,14749,1940,34,,,,,,,,
428,14786,1944,34,,,,,,,,
,14800,,,8.5,-4.763927499999999,,,,,,
426,14811,1948,34,,,,,,,,
427,14837,1952,34,,,,,,,,
428,14867,1956,34,,,,,,,,
428,14891,1960,34,,,,,,,,
,14900,,,10.5,-7.1207424,,,,,,
